"","n_total","p_total","ds","n_labil","n_humico","p_labil","p_humico","areia","silte","argila","if_valor_fuzzy"
"n_total",1,1,-0.078,0.522,0.543,0.522,0.543,-0.557,0.382,0.251,0.789
"p_total",1,1,-0.078,0.522,0.543,0.522,0.543,-0.557,0.382,0.251,0.789
"ds",-0.078,-0.078,1,-0.731,-0.662,-0.731,-0.662,-0.073,0.315,-0.225,-0.424
"n_labil",0.522,0.522,-0.731,1,0.979,1,0.979,0.001,-0.321,0.311,0.627
"n_humico",0.543,0.543,-0.662,0.979,1,0.979,1,0.006,-0.349,0.333,0.616
"p_labil",0.522,0.522,-0.731,1,0.979,1,0.979,0.001,-0.321,0.311,0.627
"p_humico",0.543,0.543,-0.662,0.979,1,0.979,1,0.006,-0.349,0.333,0.616
"areia",-0.557,-0.557,-0.073,0.001,0.006,0.001,0.006,1,-0.551,-0.583,-0.439
"silte",0.382,0.382,0.315,-0.321,-0.349,-0.321,-0.349,-0.551,1,-0.357,0.23
"argila",0.251,0.251,-0.225,0.311,0.333,0.311,0.333,-0.583,-0.357,1,0.267
"if_valor_fuzzy",0.789,0.789,-0.424,0.627,0.616,0.627,0.616,-0.439,0.23,0.267,1
